STT,long,lat
508,103.72198280,22.72665940
509,103.72204050,22.72662600
510,103.72227520,22.72643920
511,103.72267220,22.72612990
512,103.72316840,22.72577620
513,103.72362170,22.72543720
514,103.72404810,22.72508340
515,103.72412590,22.72500430
516,103.72419570,22.72491030
517,103.72426320,22.72479880
518,103.72430290,22.72470740
519,103.72434590,22.72463320
520,103.72441830,22.72454160
521,103.72449070,22.72447730
522,103.72465160,22.72434370
523,103.72477230,22.72425470
524,103.72528200,22.72380690
525,103.72539730,22.72368320
526,103.72547780,22.72358170
527,103.72590420,22.72293850
528,103.72662040,22.72205530
529,103.72673030,22.72192780
530,103.72678940,22.72183510
531,103.72682020,22.72174720
532,103.72683230,22.72168910
533,103.72683500,22.72164700
534,103.72683490,22.72151340
535,103.72684700,22.72145650
536,103.72687250,22.72140580
537,103.72690740,22.72136750
538,103.72697580,22.72131680
539,103.72708570,22.72125980
540,103.72717430,22.72120790
541,103.72722520,22.72116580
542,103.72726950,22.72112010
543,103.72729630,22.72107550
544,103.72733120,22.72099510
545,103.72738350,22.72080590
546,103.72741030,22.72075890
547,103.72745450,22.72071430
548,103.72749340,22.72069200
549,103.72776840,22.72056340
550,103.72783410,22.72052130
551,103.72789840,22.72046940
552,103.72794270,22.72042610
553,103.72798830,22.72037170
554,103.72802050,22.72031600
555,103.72805130,22.72025290
556,103.72806740,22.72018610
557,103.72808490,22.72003890
558,103.72808620,22.71995850
559,103.72809690,22.71990030
560,103.72812910,22.71984100
561,103.72821090,22.71977050
562,103.72839060,22.71969990
563,103.72859050,22.71960350
564,103.72867490,22.71954780
565,103.72874070,22.71948350
566,103.72878760,22.71943030
567,103.72881310,22.71939560
568,103.72888550,22.71928060
569,103.72892170,22.71921750
570,103.72896460,22.71915560
571,103.72902360,22.71908880
572,103.72910140,22.71905420
573,103.72921940,22.71900970
574,103.72933750,22.71895280
575,103.72943670,22.71889830
576,103.72949570,22.71883900
577,103.72953590,22.71875980
578,103.72956010,22.71866080
579,103.72960570,22.71827980
580,103.72963250,22.71818080
581,103.72966470,22.71807940
582,103.72972370,22.71799780
583,103.72979610,22.71794090
584,103.72990880,22.71789880
585,103.73002680,22.71787490
586,103.73022530,22.71785920
587,103.73033800,22.71784190
588,103.73041840,22.71781960
589,103.73049880,22.71777260
590,103.73060350,22.71761670
591,103.73067590,22.71749550
592,103.73083950,22.71736930
593,103.73126330,22.71709220
594,103.73204110,22.71645390
595,103.73239520,22.71610260
596,103.73296920,22.71562260
597,103.73329100,22.71531580
598,103.73382750,22.71494960
599,103.73397930,22.71481340
600,103.73486550,22.71364330
601,103.73515170,22.71334500
602,103.73560850,22.71295540
603,103.73569190,22.71286850
604,103.73583640,22.71256450
605,103.73611010,22.71200670
606,103.73619320,22.71193110
607,103.73671890,22.71169360
608,103.73709970,22.71130030
609,103.73714000,22.71114680
610,103.73711590,22.71097110
611,103.73704610,22.71076080
612,103.73694960,22.71054060
613,103.73693950,22.71031530
614,103.73705680,22.71004820
615,103.73716680,22.70981560
616,103.73720170,22.70967210
617,103.73720280,22.70954860
618,103.73712120,22.70931580
619,103.73698710,22.70902390
620,103.73689060,22.70882590
621,103.73680470,22.70872940
622,103.73666520,22.70864780
623,103.73649090,22.70858340
624,103.73637140,22.70850810
625,103.73627630,22.70839040
626,103.73616100,22.70811080
627,103.73609130,22.70780400
628,103.73607780,22.70759870
629,103.73617440,22.70685640
630,103.73615590,22.70673480
631,103.73608860,22.70656190
632,103.73599470,22.70640600
633,103.73558160,22.70603490
634,103.73541580,22.70589960
635,103.73532950,22.70580480
636,103.73525710,22.70567360
637,103.73518470,22.70541630
638,103.73509350,22.70502040
639,103.73506670,22.70477920
640,103.73506930,22.70475440
641,103.73509370,22.70467850
642,103.73569970,22.70334030
643,103.73600540,22.70265000
644,103.73633960,22.70195040
645,103.73658950,22.70144810
646,103.73679530,22.70114060
647,103.73745250,22.70042180
648,103.73771130,22.70019290
649,103.73821150,22.69983780
650,103.73833630,22.69972520
651,103.73842080,22.69964350
652,103.73863800,22.69936640
653,103.73895910,22.69909930
654,103.73988050,22.69859750
655,103.74019770,22.69841870
656,103.74086020,22.69805490
657,103.74093880,22.69800140
658,103.74098760,22.69794980
659,103.74101580,22.69790770
660,103.74136380,22.69726370
661,103.74139860,22.69722600
662,103.74144490,22.69719260
663,103.74158980,22.69711960
664,103.74177350,22.69701690
665,103.74231000,22.69666680
666,103.74237430,22.69663400
667,103.74242900,22.69662230
668,103.74248630,22.69661850
669,103.74253530,22.69661910
670,103.74283570,22.69663950
671,103.74294430,22.69665310
672,103.74305160,22.69665190
673,103.74314810,22.69664450
674,103.74325680,22.69662960
675,103.74334390,22.69661230
676,103.74346200,22.69658020
677,103.74360680,22.69653560
678,103.74381200,22.69648120
679,103.74412040,22.69641310
680,103.74422640,22.69638340
681,103.74438330,22.69632900
682,103.74446510,22.69631170
683,103.74455500,22.69632530
684,103.74464620,22.69634510
685,103.74475210,22.69636120
686,103.74488220,22.69636240
687,103.74498410,22.69634750
688,103.74508340,22.69632530
689,103.74525370,22.69626590
690,103.74573650,22.69606550
691,103.74582600,22.69601800
692,103.74591890,22.69594790
693,103.74601770,22.69584610
694,103.74658240,22.69515680
695,103.74779100,22.69368740
696,103.74795200,22.69347960
697,103.74803450,22.69334530
698,103.74807860,22.69324690
699,103.74812160,22.69314860
700,103.74812630,22.69310780
701,103.74812430,22.69306510
702,103.74810750,22.69302920
703,103.74807850,22.69299750
704,103.74762920,22.69280240
705,103.74781120,22.69217420
706,103.74788900,22.69185500
707,103.74791440,22.69173870
708,103.74793320,22.69163110
709,103.74794120,22.69155950
710,103.74793720,22.69147390
711,103.74789970,22.69118690
712,103.74788900,22.69107670
713,103.74789030,22.69099010
714,103.74791070,22.69091990
715,103.74795330,22.69083300
716,103.74814170,22.69055940
717,103.74819870,22.69040860
718,103.74821480,22.69032690
719,103.74821220,22.69023290
720,103.74819610,22.69004240
721,103.74813710,22.68962660
722,103.74811830,22.68946580
723,103.74811830,22.68934450
724,103.74815050,22.68915890
725,103.74820140,22.68907230
726,103.74827960,22.68897340
727,103.74841870,22.68882980
728,103.74863860,22.68863430
729,103.74919960,22.68819400
730,103.74938960,22.68805520
731,103.74953720,22.68796370
732,103.75041690,22.68751330
733,103.75053380,22.68743860
734,103.75064220,22.68734750
735,103.75097210,22.68704060
736,103.75108210,22.68694660
737,103.75118020,22.68689540
738,103.75129130,22.68687480
739,103.75148710,22.68687230
740,103.75172850,22.68685250
741,103.75225420,22.68677580
742,103.75288460,22.68668920
743,103.75342370,22.68660750
744,103.75352850,22.68657920
745,103.75368650,22.68651600
746,103.75462260,22.68593440
747,103.75487070,22.68578590
748,103.75497530,22.68572160
749,103.75527980,22.68552860
750,103.75537900,22.68545930
751,103.75559850,22.68532140
752,103.75569950,22.68526870
753,103.75582690,22.68521430
754,103.75603620,22.68513260
755,103.75642640,22.68502620
756,103.75650290,22.68499280
757,103.75656460,22.68496060
758,103.75663300,22.68491360
759,103.75669870,22.68485420
760,103.75677200,22.68476290
761,103.75682340,22.68467110
762,103.75693740,22.68441500
763,103.75698160,22.68432590
764,103.75704060,22.68424300
765,103.75765090,22.68354510
766,103.75788820,22.68328030
767,103.75825710,22.68287440
768,103.75834960,22.68277670
769,103.75846100,22.68266900
770,103.75858430,22.68256760
771,103.75869020,22.68249460
772,103.75879620,22.68242770
773,103.75918370,22.68219760
774,103.75946670,22.68201200
775,103.75955660,22.68193900
776,103.75962230,22.68186100
777,103.75973480,22.68168650
778,103.76002190,22.68109140
779,103.76011310,22.68096020
780,103.76017210,22.68089460
781,103.76024720,22.68082900
782,103.76040410,22.68072020
783,103.76058180,22.68061950
784,103.76136170,22.68019800
785,103.76178950,22.67998270
786,103.76189540,22.67991460
787,103.76196520,22.67985640
788,103.76200730,22.67980350
789,103.76203760,22.67974140
790,103.76216370,22.67937390
